               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.032922,            0.024993,           0.0033135,             0.85565,             0.75183,             0.80826,             0.49091,            0.031254,            0.017543,           0.0051481,             0.00241,             0.00241,             0.00241
                 117,             0.03246,            0.024812,           0.0034464,             0.82422,             0.75229,             0.78993,             0.48165,            0.031489,            0.017857,           0.0053464,            0.002344,            0.002344,            0.002344
                 118,            0.034089,            0.023841,           0.0047118,              0.8435,              0.7428,             0.79352,             0.49142,            0.030691,            0.017773,           0.0053146,            0.002278,            0.002278,            0.002278
                 119,            0.032193,            0.024544,           0.0040436,             0.87263,             0.74892,             0.80853,             0.49619,            0.030058,            0.017751,           0.0053402,            0.002212,            0.002212,            0.002212
                 120,            0.033169,            0.025736,           0.0033502,             0.83321,             0.77529,             0.81632,             0.49469,            0.030989,            0.017588,           0.0050061,            0.002146,            0.002146,            0.002146
                 121,            0.032189,            0.023969,           0.0035487,             0.85826,             0.75222,             0.81346,             0.49753,            0.030535,             0.01772,           0.0050788,             0.00208,             0.00208,             0.00208
                 122,            0.033381,              0.0233,           0.0037421,             0.88176,              0.7249,              0.8115,             0.48968,             0.03081,            0.017653,           0.0054381,            0.002014,            0.002014,            0.002014
                 123,            0.031577,            0.022642,           0.0034481,             0.85958,             0.75328,             0.81893,             0.50005,            0.030394,            0.017556,           0.0052469,            0.001948,            0.001948,            0.001948
                 124,            0.031372,            0.023629,           0.0031759,             0.84951,             0.76707,             0.81836,             0.49075,            0.031123,            0.017527,           0.0052499,            0.001882,            0.001882,            0.001882
                 125,            0.031435,            0.024566,           0.0032531,             0.84764,             0.76472,             0.81513,             0.49575,            0.030512,            0.017678,           0.0051126,            0.001816,            0.001816,            0.001816
                 126,             0.03222,            0.023911,           0.0032852,             0.86455,             0.73856,             0.80681,             0.48976,            0.030801,              0.0177,           0.0053213,             0.00175,             0.00175,             0.00175
                 127,            0.031908,            0.026136,           0.0031424,             0.84222,             0.77393,             0.82844,             0.50136,            0.030015,            0.017311,           0.0045104,            0.001684,            0.001684,            0.001684
                 128,            0.030682,            0.022656,           0.0028639,             0.85423,              0.7787,             0.82983,             0.50652,            0.029916,            0.017279,           0.0044134,            0.001618,            0.001618,            0.001618
                 129,            0.031675,            0.025144,           0.0032827,             0.89485,             0.72677,             0.82044,             0.49781,            0.030565,            0.017643,           0.0050218,            0.001552,            0.001552,            0.001552
                 130,            0.032251,            0.025498,           0.0032454,             0.86596,             0.74221,             0.82207,             0.50581,            0.030092,            0.017488,           0.0047718,            0.001486,            0.001486,            0.001486
                 131,            0.032144,            0.025293,           0.0033738,             0.81961,             0.77478,             0.81941,             0.50133,            0.030304,            0.017457,            0.004845,             0.00142,             0.00142,             0.00142
                 132,            0.031832,            0.028122,           0.0035536,             0.88658,             0.74989,             0.81464,             0.50078,            0.030325,            0.017508,             0.00474,            0.001354,            0.001354,            0.001354
                 133,            0.030121,            0.023451,           0.0027603,             0.84754,             0.77705,              0.8214,             0.51451,            0.029668,            0.017256,           0.0048722,            0.001288,            0.001288,            0.001288
                 134,            0.031046,            0.023923,           0.0032893,             0.86419,              0.7491,             0.81888,             0.49953,            0.030751,            0.017663,           0.0051407,            0.001222,            0.001222,            0.001222
                 135,            0.030779,            0.024782,           0.0030513,             0.86282,             0.74758,             0.80961,             0.49693,            0.030215,             0.01743,           0.0053911,            0.001156,            0.001156,            0.001156
                 136,            0.031044,            0.021667,            0.002893,             0.85866,             0.74662,             0.81667,             0.50327,            0.030082,            0.017452,           0.0050918,             0.00109,             0.00109,             0.00109
                 137,            0.031209,            0.022155,           0.0029604,             0.86493,             0.76081,             0.81948,             0.50817,             0.02972,            0.017271,           0.0050431,            0.001024,            0.001024,            0.001024
                 138,            0.030903,            0.023859,           0.0031497,             0.88092,             0.73634,              0.8177,             0.49907,            0.030416,            0.017498,           0.0052055,            0.000958,            0.000958,            0.000958
                 139,            0.031779,            0.024165,           0.0034316,             0.83927,             0.76865,             0.81374,             0.50638,            0.029875,            0.017327,           0.0049363,            0.000892,            0.000892,            0.000892
                 140,            0.030499,            0.023211,           0.0029123,             0.86108,             0.76504,               0.824,             0.49981,            0.030368,            0.017523,           0.0049172,            0.000826,            0.000826,            0.000826
                 141,            0.030893,            0.022094,           0.0029866,             0.85582,             0.76356,             0.81728,             0.51524,            0.029827,            0.017162,           0.0047418,             0.00076,             0.00076,             0.00076
                 142,            0.029595,            0.022481,           0.0028134,             0.87186,             0.74412,             0.81791,             0.51451,            0.029514,            0.017261,           0.0046936,            0.000694,            0.000694,            0.000694
                 143,            0.029967,            0.023244,           0.0028501,              0.8279,             0.78359,             0.82292,             0.50975,            0.029721,            0.017285,           0.0049851,            0.000628,            0.000628,            0.000628
                 144,            0.030651,            0.022576,           0.0031301,             0.82061,              0.7912,             0.82449,             0.50529,            0.030015,            0.017405,           0.0049518,            0.000562,            0.000562,            0.000562
                 145,            0.030229,            0.022955,           0.0027801,             0.87005,             0.75106,             0.82011,             0.50465,            0.030015,            0.017328,           0.0045634,            0.000496,            0.000496,            0.000496
                 146,            0.031052,            0.026394,           0.0033689,             0.87563,             0.74711,             0.82099,             0.50677,            0.029615,            0.017215,            0.004849,             0.00043,             0.00043,             0.00043
                 147,            0.029129,            0.021929,            0.002487,             0.86716,             0.73846,             0.81268,             0.50311,            0.029903,            0.017363,            0.005022,            0.000364,            0.000364,            0.000364
                 148,            0.030064,            0.022705,           0.0028956,             0.81277,             0.78808,             0.82116,             0.50559,            0.029855,            0.017346,           0.0048688,            0.000298,            0.000298,            0.000298
                 149,            0.030571,             0.02312,            0.002797,             0.82063,             0.78248,             0.82391,             0.51024,            0.029837,            0.017279,           0.0047899,            0.000232,            0.000232,            0.000232
